name,prompt,negative_prompt
None,,
"neon solar, Delphin + Volegov","neon lighting, photorealism, solarpunk, delphin enjolras and vladimir volegov on gallerist",PG13
epic prize,"Highly detailed, surrealism, smooth face, sharp focus, award winning most beautiful image ever generated, 8k, washed colors, dramatic lighting, picture of the century, ambient lighting, epic composition",
Epic,"Highly detailed, surrealism, smooth face, sharp focus, award winning most beautiful image ever generated, 8k, washed colors, dramatic lighting, picture of the century, ambient lighting, epic composition",
Neon,"neon lighting, photorealism, solarpunk, delphin enjolras and vladimir volegov on gallerist",
centered-Symmetry,"Perfectly-centered portrait-photograph of a real life godly Moment of Desire, lifelike, super highly detailed, professional digital painting, artstation, concept art, Photorealism, HD quality, 8k resolution, cinema 4d, 3D, beautiful art, of Dark Kingdom series by Tom Bagshaw","((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))). out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck)))"
Tom Bagshaw-moment of desire,"Perfectly-centered portrait-photograph of a real life godly Moment of Desire, lifelike, super highly detailed, professional digital painting, artstation, concept art, Photorealism, HD quality, 8k resolution, cinema 4d, 3D, beautiful art by Tom Bagshaw","((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))). out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck)))"
Conte-Jour,"Conte-Jour, Accent Lighting, Global Illumination, Extreme Long Establish Shot, Sharp Optics, Glowing Shadows, RTX, SSAO, OpenGL-Shaders, insanely accurate and intricate, hyper maximalist, elegant, ambient occlusion, HDR --v 4, super detailed 8K",
peluche de unicornio,"Stuffed peluche de unicornio Garden, Great Lighting, Unreal Engine 5, Cinematic, Ultra-Wide Angle, Depth of Field, focused, hyper-detailed, insane details, intricate details, beautifully color graded, Unreal Engine, Cinematic, Photoshoot, Shot on 25mm lens, Depth of Field, DOF, Tilt Blur, Shutter Speed 1/1000, F/22, White Balance, 32k, Super-Resolution, Megapixel, Pro Photo RGB, VR, Lonely, Good, Massive, Half rear Lighting,",
mdjrny superlatives,"mdjrny-v4 style, photorealistic,dynamic pose, highly detailed,cinematic lighting, HD,cinematography,photorealistic,epic composition Unreal Engine,Cinematic,Color Grading, portrait Photography, Ultra-Wide Angle, Depth of Field, hyper detailed, beautifully coded by color, insane detail, intricate detail, beautifully colored, Unreal Engine, Cinematic, Color Grading, Editorial Photography, Photography, Photoshoot, Depth of Field, DOF, Tilt Blur, White Balance, 32k, Super-Resolution, Megapixel, ProPhoto RGB, Halfrear Lighting, Backlight, Natural Lighting, Incandescent, Fiber Optic, Moody Lighting, Cinematic Lighting, Studio Lighting, Soft Lighting, Volumetric, Contre-Jour, Beautiful Lighting, Accent Lighting, Global Illumination, Screen Space Global Illumination, Ray Tracing Global Illumination , Optical, Scattering, Glowing, Shadows, Rough, Shimmer, Ray Tracing Reflections, Lumen Reflections, Screen Reflections, Diffraction Gradation, Chr Aberration omatics, GB displacement, scan lines, ray tracing, ray tracing ambient occlusion, anti-aliasing, FK AA, TXAA, RTX, SSAO, Shaders, OpenGL-Shaders, GLSL-Shaders, Post-processing, Post- production , Cell Shading, Tone Mapping, CGI, VFX, SFX, incredibly detailed and intricate, hypermaximal, elegant, hyper realistic, super detailed, dynamic pose, photography, 8k,gloss,detailed full-color,nature, low angle,sharp focus,epic scene,cinematic, volumetric, photorealistic, ultra photoreal, ultra-detailed, intricate details, 8K, super detailed, full color, ambient occlusion, sherif, volumetric lighting, Symmetrica, high octane, ultra resolution, amazing detail, perfection, In frame, photorealistic, cinematic lighting, visual clarity, UHD, 32k, 3D shading, Tone Mapping, Ray Tracing",
